ID_capteur;ID_agent;Date_capteur
1;3;2010-12-21
2;3;2012-02-09
3;3;2013-12-11
4;6;2018-12-04
5;6;2014-11-15
6;9;2014-06-11
7;12;2019-09-01
8;15;2012-02-24
9;15;2013-11-20
10;18;2013-06-01
11;18;2018-01-15
12;21;2019-10-27
13;24;2013-09-17
14;27;2018-01-12
15;30;2019-01-19
16;30;2014-02-19
17;33;2018-06-12
18;33;2014-06-23
19;33;2015-06-18
20;36;2014-11-14
21;36;2015-08-10
22;39;2017-05-10
23;39;2019-10-23
24;42;2010-08-20
25;42;2011-07-14
26;42;2012-12-02
27;45;2014-11-07
28;45;2018-10-09
29;45;2011-11-09
30;48;2012-02-12
31;48;2016-01-11
32;51;2016-11-08
33;51;2015-03-03
34;51;2016-04-19
35;54;2014-03-27
36;57;2017-03-23
37;57;2019-01-15
38;60;2019-11-21
39;63;2011-04-01
40;63;2012-06-13
41;63;2015-06-17
42;66;2017-05-14
43;69;2011-06-14
44;69;2011-11-25
45;72;2018-03-05
46;75;2017-12-26
47;78;2014-11-19
48;81;2012-09-14
49;81;2016-11-05
50;84;2011-04-23
51;84;2010-12-27
52;84;2015-04-11
53;87;2013-03-10
54;87;2014-03-21
55;87;2012-07-21
56;90;2019-08-26
57;93;2017-09-21
58;93;2016-08-26
59;96;2014-11-10
60;96;2010-09-03
61;96;2013-06-06
62;99;2019-10-09
63;102;2012-05-03
64;102;2019-06-08
65;102;2013-10-14
66;105;2010-11-12
67;105;2016-06-18
68;105;2016-05-11
69;108;2015-08-12
70;108;2019-11-24
71;111;2019-01-15
72;114;2011-06-01
73;114;2017-05-09
74;114;2019-09-07
75;117;2010-10-27
76;117;2010-09-02
77;120;2011-03-14
78;120;2013-02-09
79;120;2013-09-04
80;123;2010-02-18
81;126;2019-06-08
82;126;2013-12-09
83;129;2011-09-18
84;132;2012-01-20
85;132;2016-01-19
86;135;2016-04-21
87;135;2013-11-08
88;138;2017-08-11
89;138;2019-07-06
90;141;2012-02-15
91;141;2019-05-04
92;144;2015-02-16
93;144;2013-01-26
94;144;2011-06-07
95;147;2014-09-17
96;147;2019-02-20
97;147;2014-02-17
98;150;2018-01-01
99;150;2010-12-13
100;153;2012-10-22
101;153;2012-08-04
102;156;2012-09-20
103;156;2012-11-22
104;159;2013-05-14
105;162;2013-05-01
106;162;2011-05-27
107;162;2010-12-13
108;165;2016-02-23
109;165;2016-01-17
110;168;2019-02-24
111;171;2010-04-21
112;171;2014-03-27
113;174;2012-02-05
114;174;2010-04-06
115;174;2011-11-20
116;177;2011-02-10
117;177;2013-02-14
118;177;2013-05-17
119;180;2012-08-17
120;183;2013-09-25
121;183;2015-08-01
122;186;2014-08-09
123;186;2019-07-11
124;189;2019-09-27
125;189;2014-11-06
126;189;2010-04-12
127;192;2012-01-14
128;195;2011-09-27
129;198;2018-08-16
130;198;2010-09-20
131;198;2012-02-19
132;201;2016-01-06
133;201;2011-11-15
134;204;2010-01-11
135;204;2015-07-07
136;207;2014-11-18
137;210;2010-01-24
138;210;2013-11-03
139;213;2014-05-06
140;213;2018-03-06
141;213;2015-07-02
142;216;2017-11-21
143;216;2018-02-08
144;219;2017-05-11
145;219;2014-08-26
146;219;2013-08-12
147;222;2017-12-05
148;222;2015-06-08
149;225;2010-04-23
150;225;2010-08-25
151;225;2019-01-02
152;228;2017-11-15
153;228;2017-09-04
154;231;2016-06-10
155;231;2011-09-25
156;231;2010-06-15
157;234;2012-07-19
158;234;2011-02-05
159;234;2019-01-06
160;237;2018-02-13
161;237;2016-08-01
162;240;2016-10-06
163;240;2013-02-01
164;243;2010-08-07
165;246;2019-07-13
166;246;2015-03-10
167;249;2018-08-08
168;252;2014-01-01
169;252;2019-10-17
170;252;2011-06-27
171;255;2016-03-13
172;255;2019-11-08
173;255;2012-12-21
174;258;2017-07-01
175;258;2010-08-17
176;261;2017-11-19
177;261;2012-04-25
178;264;2013-07-27
179;267;2017-09-12
180;267;2018-12-03
181;267;2013-01-19
182;270;2010-07-12
183;270;2012-09-16
184;273;2014-05-16
185;273;2015-10-20
186;276;2010-10-18
187;276;2012-04-10
188;276;2012-05-21
189;279;2011-06-25
190;279;2014-02-18
191;282;2016-05-07
192;282;2010-02-25
193;282;2011-12-06
194;285;2018-02-12
195;288;2010-07-18
196;288;2013-02-16
197;288;2017-10-17
198;291;2015-04-01
199;291;2010-12-22
200;294;2019-03-06
201;294;2017-12-13
202;294;2012-08-17
203;297;2016-06-10
204;297;2010-12-12
205;297;2019-01-21
206;300;2015-02-11
207;303;2014-11-12
208;303;2012-02-13
209;306;2016-12-03
210;306;2017-10-08
211;306;2015-11-05
212;309;2012-11-09
213;309;2016-02-26
214;309;2011-10-03
215;312;2012-02-25
