ID_rapport;Date_donnees;ID_secteur
1;2019-04-12;3
2;2015-10-02;3
3;2019-10-02;1
4;2015-10-03;1
5;2018-03-21;3
6;2019-02-23;3
7;2015-03-23;4
8;2020-01-19;5
9;2017-06-12;2
10;2018-04-06;3
11;2017-07-25;1
12;2018-12-10;1
13;2017-08-27;5
14;2018-09-06;3
15;2015-01-04;5
16;2020-07-05;5
17;2018-08-25;2
18;2018-12-27;2
19;2016-10-13;1
20;2020-03-12;4
21;2020-06-05;5
22;2019-08-16;5
23;2016-10-20;1
24;2016-06-20;2
25;2019-09-05;1
26;2019-02-04;1
27;2017-04-05;3
28;2019-05-03;5
29;2015-02-10;1
30;2020-12-23;1
31;2015-05-09;3
32;2015-09-05;3
33;2020-01-17;3
34;2018-01-16;3
35;2016-07-09;5
36;2015-10-18;2
37;2018-08-21;1
38;2019-01-26;5
39;2020-04-02;2
40;2020-03-18;5
41;2016-08-14;3
42;2018-12-17;2
43;2016-04-24;3
44;2020-05-27;2
45;2020-09-13;4
46;2017-09-11;4
47;2015-02-23;4
48;2017-10-12;2
49;2017-01-25;2
50;2020-07-23;2
51;2015-02-05;4
52;2019-03-26;1
53;2018-04-11;3
54;2019-03-21;3
55;2015-10-01;5
56;2016-09-26;4
57;2017-02-26;2
58;2018-07-15;4
59;2017-09-13;1
60;2019-01-16;3
61;2020-04-19;4
62;2018-09-04;4
63;2019-07-22;3
64;2017-07-21;4
65;2018-09-14;1
66;2020-05-12;2
67;2015-09-19;5
68;2015-10-14;5
69;2016-09-16;5
70;2016-08-17;4
71;2019-10-09;3
72;2017-08-24;5
73;2020-04-14;4
74;2015-10-01;5
75;2019-09-17;1
76;2016-09-15;5
77;2018-05-18;4
78;2016-04-26;2
79;2017-12-02;5
80;2020-04-22;2
81;2016-01-10;5
82;2016-04-17;2
83;2015-01-15;4
84;2015-04-27;3
85;2020-07-23;3
86;2019-12-06;5
87;2020-01-03;4
88;2019-11-04;5
89;2019-01-20;3
90;2017-07-16;5
91;2017-11-24;3
92;2015-03-25;3
93;2016-09-17;2
94;2019-05-24;5
95;2019-08-11;5
96;2020-06-01;5
97;2019-07-26;4
98;2020-04-18;2
99;2015-06-13;5
100;2020-01-20;1
101;2017-09-26;1
102;2017-11-08;2
103;2020-10-25;4
104;2016-06-23;5
105;2017-04-16;2
106;2018-03-09;5
107;2017-07-15;5
108;2019-04-15;2
109;2016-04-13;3
110;2015-04-17;5
111;2020-08-07;5
112;2015-07-23;1
113;2019-11-03;1
114;2017-09-04;5
115;2018-05-17;3
116;2017-03-11;3
117;2018-11-06;4
118;2017-04-17;3
119;2015-01-18;1
120;2017-05-09;4
121;2018-10-02;4
122;2019-03-12;2
123;2016-08-10;1
124;2019-10-06;4
125;2019-07-22;3
126;2019-06-26;5
127;2019-12-05;1
128;2018-12-09;2
129;2015-03-10;5
130;2020-11-02;3
131;2020-03-27;1
132;2018-09-17;2
133;2017-05-05;2
134;2019-05-24;3
135;2020-10-04;2
136;2018-03-20;4
137;2018-06-22;5
138;2020-10-18;2
139;2020-09-26;1
140;2020-11-21;1
141;2018-11-26;2
142;2016-12-19;2
143;2016-05-04;2
144;2018-12-08;4
145;2017-04-18;1
146;2019-05-14;2
147;2019-02-19;1
148;2019-07-07;4
149;2018-03-20;1
150;2019-08-02;4
151;2020-08-14;1
152;2015-06-02;4
153;2019-02-05;5
154;2019-04-10;2
155;2016-06-25;3
156;2016-05-26;4
157;2020-01-08;2
158;2018-06-03;3
159;2020-10-09;4
160;2015-05-19;4
161;2017-01-24;1
162;2017-04-09;1
163;2019-06-20;3
164;2016-09-12;4
165;2020-02-18;4
166;2017-10-11;3
167;2015-10-24;5
168;2019-12-10;1
169;2019-09-21;5
170;2019-02-09;1
171;2015-02-12;2
172;2018-03-04;3
173;2017-05-09;1
174;2017-07-04;1
175;2018-08-17;4
176;2020-03-03;4
177;2018-06-01;5
178;2019-02-20;4
179;2020-11-20;5
180;2015-01-21;5
181;2015-12-26;4
182;2016-04-14;4
183;2018-09-27;5
184;2020-12-21;3
185;2017-02-05;2
186;2015-12-11;3
187;2016-10-04;4
188;2016-10-23;1
189;2015-03-10;1
190;2016-06-11;1
191;2019-01-03;3
192;2017-03-02;3
193;2017-05-05;5
194;2016-10-25;2
195;2020-07-10;4
196;2020-08-01;3
197;2020-06-01;1
198;2015-05-13;2
199;2017-04-01;3
200;2015-09-21;2
201;2019-06-13;3
202;2015-08-05;1
203;2015-08-17;5
204;2018-03-01;2
205;2016-10-24;3
206;2020-02-24;3
207;2019-06-01;5
208;2017-11-13;2
209;2015-01-08;5
210;2017-06-10;5
211;2016-10-22;2
212;2015-07-09;3
213;2018-06-05;1
214;2017-01-12;1
215;2017-09-01;3
216;2015-12-08;5
217;2016-09-15;1
218;2015-08-06;5
219;2018-05-01;3
220;2017-07-18;2
221;2017-01-03;5
222;2020-04-07;1
223;2015-11-03;5
224;2016-05-13;4
225;2020-11-11;2
226;2019-07-08;3
227;2020-12-06;1
228;2015-09-10;4
229;2018-04-10;4
230;2018-08-18;1
231;2015-10-05;1
232;2019-01-16;4
233;2020-01-17;4
234;2020-04-10;1
235;2017-01-22;5
236;2020-01-17;2
237;2019-10-06;1
238;2020-04-03;2
239;2018-09-21;1
240;2019-03-10;4
241;2018-01-02;2
242;2020-01-09;4
243;2016-03-04;3
244;2019-01-07;3
245;2019-09-02;3
246;2020-01-01;5
247;2018-02-13;3
248;2017-01-06;2
249;2017-10-22;1
250;2020-11-11;2
251;2015-01-16;3
252;2019-01-09;4
253;2016-05-07;1
254;2020-01-15;4
255;2015-09-14;3
256;2018-12-15;3
257;2018-04-13;2
258;2018-08-26;4
259;2017-08-13;3
260;2016-08-11;5
261;2018-11-11;3
262;2017-04-25;4
263;2016-11-23;4
264;2018-03-09;4
265;2016-01-12;1
266;2017-10-08;5
267;2015-04-26;2
268;2020-05-23;2
269;2017-10-15;4
270;2018-09-20;4
271;2018-11-11;3
272;2019-05-07;5
273;2019-10-26;1
274;2015-09-13;3
275;2018-01-03;3
276;2016-03-09;2
277;2016-08-15;4
278;2015-03-02;4
279;2019-09-05;1
280;2019-02-19;3
281;2019-03-24;3
282;2019-05-11;1
283;2015-04-16;4
284;2019-12-22;5
285;2019-02-17;3
286;2016-04-05;5
287;2019-01-03;3
288;2017-05-14;1
289;2020-08-08;1
290;2019-12-10;5
291;2017-01-20;2
292;2018-09-24;3
293;2017-09-23;1
294;2017-12-22;1
295;2016-05-11;1
296;2019-09-13;3
297;2018-06-02;2
298;2019-06-11;2
299;2019-04-07;2
300;2017-06-15;5
301;2016-05-20;2
302;2017-07-27;3
303;2020-08-26;4
304;2017-10-09;5
305;2017-04-18;2
306;2015-08-26;1
307;2017-03-12;4
308;2018-10-23;1
309;2019-11-09;4
310;2015-08-07;1
311;2020-04-23;2
312;2015-12-11;1
313;2020-01-04;2
314;2017-09-18;5
315;2017-02-05;1
316;2019-03-02;1
317;2018-02-14;4
318;2017-01-16;1
319;2018-06-24;4
320;2020-07-16;5
321;2016-12-11;1
322;2016-11-09;5
323;2016-02-07;2
324;2016-05-18;5
325;2020-01-08;2
326;2019-07-17;2
327;2020-08-12;2
328;2015-05-09;1
329;2015-08-05;5
330;2018-05-05;3
331;2018-01-06;2
332;2015-09-09;4
333;2020-02-11;2
334;2016-02-02;1
335;2017-06-19;3
336;2020-11-22;4
337;2020-05-19;4
338;2016-09-04;2
339;2018-05-10;3
340;2018-08-27;2
341;2019-06-16;3
342;2020-11-27;2
343;2016-08-12;5
344;2020-07-14;4
345;2017-12-21;2
346;2019-12-07;2
347;2017-02-08;3
348;2017-01-27;5
349;2020-05-01;5
350;2016-03-14;3
351;2016-07-11;5
352;2016-05-03;3
353;2019-11-11;5
354;2015-04-22;4
355;2018-03-13;4
356;2017-04-18;1
357;2015-12-21;3
358;2020-04-11;3
359;2020-05-08;4
360;2018-03-02;3
361;2016-02-27;4
362;2016-07-01;3
363;2016-11-25;4
364;2019-02-02;2
365;2017-03-01;3
366;2017-02-21;2
367;2017-02-21;2
368;2019-12-23;4
369;2018-12-17;2
370;2015-07-07;3
371;2017-04-16;4
372;2015-11-04;2
373;2015-12-10;4
374;2016-04-20;2
375;2017-12-18;2
376;2015-01-25;1
377;2015-11-15;2
378;2020-12-11;3
379;2015-01-22;5
380;2015-07-23;3
381;2017-03-27;5
382;2018-08-09;1
383;2015-08-05;4
384;2020-04-25;2
385;2016-10-22;2
386;2017-02-03;1
387;2017-04-03;2
388;2020-11-06;5
389;2020-07-14;1
390;2020-09-02;2
391;2015-03-04;4
392;2019-10-04;3
393;2018-04-23;5
394;2018-11-20;2
395;2020-06-05;1
396;2016-02-18;1
397;2016-08-07;3
398;2019-06-13;5
399;2017-04-21;4
400;2018-09-20;5
401;2015-07-15;5
402;2019-10-27;2
403;2019-11-19;2
404;2016-06-05;3
405;2017-07-03;2
406;2020-10-27;2
407;2017-09-13;2
408;2016-10-15;4
409;2016-08-26;3
410;2020-05-21;5
411;2020-10-09;4
412;2015-08-08;5
413;2020-01-11;4
414;2017-08-07;2
415;2018-03-13;3
416;2020-02-11;1
417;2019-03-26;1
418;2016-04-14;3
419;2020-07-03;1
420;2018-05-11;4
421;2016-04-03;5
422;2017-08-24;3
423;2017-09-05;5
424;2019-12-01;4
425;2017-08-10;2
426;2015-11-07;1
427;2020-06-21;5
428;2019-10-18;1
429;2018-07-25;3
430;2020-07-21;2
431;2019-04-01;5
432;2018-05-06;3
433;2018-08-03;4
434;2019-01-10;2
435;2015-02-10;5
436;2015-03-09;2
437;2018-04-02;3
438;2020-07-27;2
439;2018-06-22;2
440;2017-12-22;5
441;2016-05-03;1
442;2017-04-21;4
443;2020-05-22;5
444;2018-08-27;1
