ID_rapport;ID_gaz;ID_capteur;Emissions_ppm
1;3;52;210.24324904046168
2;4;131;524.1850239253507
3;2;75;847.9311179411798
4;10;182;75.99961884265699
5;3;149;926.3776906899737
6;1;29;572.7756859364912
7;6;160;569.5516745997355
8;9;3;438.90840910557006
9;1;129;471.0522179719933
10;11;112;614.1162883655036
11;10;72;973.0999680994998
12;10;183;808.2737584299792
13;5;28;686.1268483557564
14;5;154;753.0798828388444
15;6;160;715.0514324592368
16;2;213;342.5093941542185
17;3;194;812.4216737864432
18;5;130;891.8414597151659
19;9;107;811.2543806747528
20;1;138;136.86255219685336
21;11;105;872.1350901379735
22;11;209;918.4440610785227
23;4;45;927.2155645985353
24;7;66;875.8710065065607
25;3;197;946.3285953406025
26;2;53;925.3889458664019
27;5;206;798.5053862235367
28;7;208;118.26405495949389
29;4;190;438.2241032059106
30;11;111;977.4571694817328
31;2;203;285.25616869884647
32;9;35;82.08051583021751
33;8;97;986.4278112255031
34;5;153;900.9479236505329
35;9;64;585.6609123926899
36;1;7;60.00838394422413
37;5;9;95.76747771718634
38;5;162;433.8620023743262
39;9;164;387.3457749946317
40;8;39;595.1200926248407
41;10;165;273.7346587212337
42;11;81;875.046991925776
43;3;169;922.8066585570226
44;7;21;255.28130420213557
45;5;167;350.5574796871381
46;5;50;814.4959997844912
47;9;214;898.1242094293544
48;2;14;333.38074838371256
49;1;155;560.620650711633
50;4;187;590.6302252412796
51;11;102;874.4424519845807
52;3;186;243.72508196140416
53;4;72;129.07321955395372
54;11;102;198.69148859628362
55;7;47;748.8282658657484
56;1;105;763.16799767768
57;11;57;631.3544641449541
58;7;122;167.34743974472207
59;9;64;619.2951349952916
60;10;20;510.0082612596435
61;1;163;770.4835970921415
62;8;184;796.1654722783669
63;8;152;417.8654904547793
64;9;137;99.52496745275548
65;6;204;113.30609131940133
66;3;46;505.1697532900609
67;4;88;160.54480357660512
68;1;69;813.2781749458532
69;1;193;850.5400782759323
70;5;191;823.0451471412343
71;8;193;725.3236665986201
72;8;32;301.21289447700326
