ID_agence;Nom_agence;ID_ville
1;Agence1;1
2;Agence2;1
3;Agence3;2
4;Agence4;2
5;Agence5;3
6;Agence6;3
7;Agence7;4
8;Agence8;4
9;Agence9;5
10;Agence10;5
11;Agence11;6
12;Agence12;6
13;Agence13;7
14;Agence14;7
15;Agence15;8
16;Agence16;8
17;Agence17;9
18;Agence18;9
19;Agence19;10
20;Agence20;10
21;Agence21;11
22;Agence22;11
23;Agence23;12
24;Agence24;12
25;Agence25;13
26;Agence26;13
27;Agence27;14
28;Agence28;14
29;Agence29;15
30;Agence30;15
31;Agence31;16
32;Agence32;16
33;Agence33;17
34;Agence34;17
35;Agence35;18
36;Agence36;18
37;Agence37;19
38;Agence38;19
39;Agence39;20
40;Agence40;20
41;Agence41;21
42;Agence42;21
43;Agence43;22
44;Agence44;22
45;Agence45;23
46;Agence46;23
47;Agence47;24
48;Agence48;24
49;Agence49;25
50;Agence50;25
51;Agence51;26
52;Agence52;26
53;Agence53;27
54;Agence54;27
55;Agence55;28
56;Agence56;28
57;Agence57;29
58;Agence58;29
59;Agence59;30
60;Agence60;30
61;Agence61;31
62;Agence62;31
63;Agence63;32
64;Agence64;32
65;Agence65;33
66;Agence66;33
67;Agence67;34
68;Agence68;34
69;Agence69;35
70;Agence70;35
71;Agence71;36
72;Agence72;36
73;Agence73;37
74;Agence74;37
75;Agence75;38
76;Agence76;38
77;Agence77;39
78;Agence78;39
79;Agence79;40
80;Agence80;40
81;Agence81;41
82;Agence82;41
83;Agence83;42
84;Agence84;42
85;Agence85;43
86;Agence86;43
87;Agence87;44
88;Agence88;44
89;Agence89;45
90;Agence90;45
91;Agence91;46
92;Agence92;46
93;Agence93;47
94;Agence94;47
95;Agence95;48
96;Agence96;48
97;Agence97;49
98;Agence98;49
99;Agence99;50
100;Agence100;50
101;Agence101;51
102;Agence102;51
103;Agence103;52
104;Agence104;52
