ID_capteur;Nom_capteur
1;Capteur1
2;Capteur2
3;Capteur3
4;Capteur4
5;Capteur5
6;Capteur6
7;Capteur7
8;Capteur8
9;Capteur9
10;Capteur10
11;Capteur11
12;Capteur12
13;Capteur13
14;Capteur14
15;Capteur15
16;Capteur16
17;Capteur17
18;Capteur18
19;Capteur19
20;Capteur20
21;Capteur21
22;Capteur22
23;Capteur23
24;Capteur24
25;Capteur25
26;Capteur26
27;Capteur27
28;Capteur28
29;Capteur29
30;Capteur30
31;Capteur31
32;Capteur32
33;Capteur33
34;Capteur34
35;Capteur35
36;Capteur36
37;Capteur37
38;Capteur38
39;Capteur39
40;Capteur40
41;Capteur41
42;Capteur42
43;Capteur43
44;Capteur44
45;Capteur45
46;Capteur46
47;Capteur47
48;Capteur48
49;Capteur49
50;Capteur50
51;Capteur51
52;Capteur52
53;Capteur53
54;Capteur54
55;Capteur55
56;Capteur56
57;Capteur57
58;Capteur58
59;Capteur59
60;Capteur60
61;Capteur61
62;Capteur62
63;Capteur63
64;Capteur64
65;Capteur65
66;Capteur66
67;Capteur67
68;Capteur68
69;Capteur69
70;Capteur70
71;Capteur71
72;Capteur72
73;Capteur73
74;Capteur74
75;Capteur75
76;Capteur76
77;Capteur77
78;Capteur78
79;Capteur79
80;Capteur80
81;Capteur81
82;Capteur82
83;Capteur83
84;Capteur84
85;Capteur85
86;Capteur86
87;Capteur87
88;Capteur88
89;Capteur89
90;Capteur90
91;Capteur91
92;Capteur92
93;Capteur93
94;Capteur94
95;Capteur95
96;Capteur96
97;Capteur97
98;Capteur98
99;Capteur99
100;Capteur100
101;Capteur101
102;Capteur102
103;Capteur103
104;Capteur104
105;Capteur105
106;Capteur106
107;Capteur107
108;Capteur108
109;Capteur109
110;Capteur110
111;Capteur111
112;Capteur112
113;Capteur113
114;Capteur114
115;Capteur115
116;Capteur116
117;Capteur117
118;Capteur118
119;Capteur119
120;Capteur120
121;Capteur121
122;Capteur122
123;Capteur123
124;Capteur124
125;Capteur125
126;Capteur126
127;Capteur127
128;Capteur128
129;Capteur129
130;Capteur130
131;Capteur131
132;Capteur132
133;Capteur133
134;Capteur134
135;Capteur135
136;Capteur136
137;Capteur137
138;Capteur138
139;Capteur139
140;Capteur140
141;Capteur141
142;Capteur142
143;Capteur143
144;Capteur144
145;Capteur145
146;Capteur146
147;Capteur147
148;Capteur148
149;Capteur149
150;Capteur150
151;Capteur151
152;Capteur152
153;Capteur153
154;Capteur154
155;Capteur155
156;Capteur156
157;Capteur157
158;Capteur158
159;Capteur159
160;Capteur160
161;Capteur161
162;Capteur162
163;Capteur163
164;Capteur164
165;Capteur165
166;Capteur166
167;Capteur167
168;Capteur168
169;Capteur169
170;Capteur170
171;Capteur171
172;Capteur172
173;Capteur173
174;Capteur174
175;Capteur175
176;Capteur176
177;Capteur177
178;Capteur178
179;Capteur179
180;Capteur180
181;Capteur181
182;Capteur182
183;Capteur183
184;Capteur184
185;Capteur185
186;Capteur186
187;Capteur187
188;Capteur188
189;Capteur189
190;Capteur190
191;Capteur191
192;Capteur192
193;Capteur193
194;Capteur194
195;Capteur195
196;Capteur196
197;Capteur197
198;Capteur198
199;Capteur199
200;Capteur200
201;Capteur201
202;Capteur202
203;Capteur203
204;Capteur204
205;Capteur205
206;Capteur206
207;Capteur207
208;Capteur208
209;Capteur209
210;Capteur210
211;Capteur211
212;Capteur212
213;Capteur213
214;Capteur214
215;Capteur215
