ID_ville;Nom_ville;Code_postal;ID_region
1;Lyon;69000;1
2;Annecy;74000;1
3;Chambery;73000;1
4;Bourg-En-Bresse;01000;1
5;Dijon;21000;2
6;Auxerre;89000;2
7;Macon;71000;2
8;Nevers;58000;2
9;Rennes;35000;3
10;Saint-Malo;35400;3
11;Brest;29200;3
12;Quimper;29000;3
13;Orleans;45000;4
14;Tours;37000;4
15;Bourges;18000;4
16;Chartres;28000;4
17;Ajaccio;20000;5
18;Bastia;20200;5
19;Corte;20250;5
20;Calvi;20260;5
21;Strasbourd;67000;6
22;Reims;51100;6
23;Metz;57000;6
24;Nancy;54000;6
25;Lille;59000;7
26;Amiens;80000;7
27;Calais;62100;7
28;Dunkerque;59140;7
29;Paris;75000;8
30;Courbevoie;92400;8
31;Montreil;93100;8
32;Saint-Denis;93200;8
33;Rouen;76000;9
34;Caen;14000;9
35;Le Havre;76600;9
36;Cherbourg;14000;9
37;Bordeaux;33000;10
38;La Rochelle;17000;10
39;Limoges;87000;10
40;Bayonne;64100;10
41;Toulouse;31000;11
42;Albi;81000;11
43;Montpellier;34000;11
44;Lez;34980;11
45;Nantes;44000;12
46;Angers;49000;12
47;Le Mans;72000;12
48;Saumur;49400;12
49;Marseille;13000;13
50;Aix-De-Provence;13100;13
51;Nice;06000;13
52;Avignon;84000;13
